rank,domain,decision,reason,title,matched_keywords
1032,nextcloud.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Nextcloud - Open source content collaboration platform,collaboration;platform
1038,segment.io,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Twilio Segment Customer Data Platform | Twilio,data platform;platform
1099,supabase.co,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Supabase | The Postgres Development Platform,apis;database;platform
1131,usercentrics.eu,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Usercentrics | Leading in Data Privacy & Compliance,compliance
1152,mobolize.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Data Management Engine for Security & Connectivity on the Endpoint - Mobolize,data management;cloud;security
1237,tradplusad.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,TradPlus - 移动广告变现 - 游戏应用出海 - 最大化广告收益 - 上海世全网络科技有限公司,saas
1245,blackberry.net,exclude,"Service/domain alias of BlackBerry, already represented in the discovery cohort by blackberry.com.",BlackBerry | Secure Communications and QNX,security;software
1288,edna.ru,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,,crm
1295,rustdesk.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,RustDesk: Open-Source Remote Desktop with Self-Hosted Server Solutions,platform;software
1308,datadome.co,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,DataDome | Bot Management & Agent Trust Platform,apis;platform
1334,ovhcloud.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,OVHcloud,cloud;developers
1377,ultradns.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,UltraDNS | Enterprise Authoritative DNS | DigiCert,enterprise
1517,twilio.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,"Conversational AI and APIs for SMS, Email, Voice | Twilio",apis;platform
1557,therapservices.net,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Leading Documentation System for I/DD Providers and States,compliance
1625,overwolf.com,exclude,Consumer/gaming creator ecosystem rather than the target enterprise-service population.,Overwolf | The guild of in-game creators,developers;platform
1626,sun.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Hardware | Oracle,cloud infrastructure;cloud;database;infrastructure
1768,avira.com,exclude,Homepage evidence is consumer endpoint antivirus across personal devices; outside target enterprise-service population.,"Download Security Software for Windows, Mac, Android & iOS | Avira Antivirus",security;software
1780,tawk.to,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,tawk.to - Free Live Chat Software for Your Website,crm;software
1786,vmware.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,VMware by Broadcom - Cloud Computing for the Enterprise,cloud infrastructure;enterprise;cloud;infrastructure;security
1795,bitdefender.com,exclude,"Service/domain alias of Bitdefender, already represented in the discovery cohort by bitdefender.net.",Bitdefender - Global Leader in Cybersecurity Software,cybersecurity;software
1797,mongodb.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,MongoDB: The World’s Leading Modern Data Platform | MongoDB,data platform;database;platform
1801,medallia.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Experience Management Software Platform – Medallia – Experience Management Software,platform;software
1812,rapid7.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Rapid7 Managed Cybersecurity: Outpace Attackers,cybersecurity;cloud;platform
1833,trustarc.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Data Privacy Management Software & Solutions | TrustArc,compliance;software
1843,pusher.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Pusher | Leader In Realtime Technologies,apis;developers
1845,ovh.com,exclude,"Service/domain alias of OVHcloud, already represented in this replication tranche by the higher-ranked ovhcloud.com.",Cloud Computing & Web Hosting | OVHcloud Worldwide,web hosting;cloud
1855,arstechnica.com,exclude,"Media publication, not an enterprise technology service.","Ars Technica - Serving the Technologist since 1998. News, reviews, and analysis.",cybersecurity
1858,livechatinc.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,LiveChat® - The Best AI Live Chat Software for Business | LiveChat.com,b2b;software
1911,cloud.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Cloud Software Group home,data management;enterprise;cloud;collaboration;infrastructure;security;software
1917,mapbox.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,"Mapbox | Maps, Navigation, Search, and Data",apis
1927,stripe.network,exclude,"Service/domain alias of Stripe, already represented in the discovery cohort by stripe.com.",Stripe | Financial Infrastructure to Grow Your Revenue,infrastructure;platform
1951,rackspace.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Rackspace Technology | Where Enterprise AI runs and outcomes scale,enterprise;cloud;security
1976,romarg.com,retain,Homepage title/metadata supports an enterprise-facing technology service; no same-service alias conflict identified before outcome collection.,Domains .EU - Domain Registration and Web Hosting through ROMARG,web hosting
