rank,domain,manual_status,basis,title,matched_keywords
29,github.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,GitHub · Change is constant. GitHub keeps you ahead. · GitHub,developer platform;developer;developers;platform;software
36,fastly.net,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,,cloud platform;cdn;cloud;platform;security
37,doubleclick.net,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,enterprise;platform
45,gandi.net,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,"Gandi.net - Gandi.net: Domain Names, Web Hosting, SSL Certificates and Emails",web hosting
47,digicert.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,TLS/SSL Certificate Authority | Leader in Digital Trust | DigiCert,enterprise
65,windows.net,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,.NET - Build modern apps and powerful cloud services,cloud services;developer platform;cloud;developer;platform
77,zoom.us,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,One platform to connect | Zoom,collaboration;platform
92,sentry.io,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Application Performance Monitoring & Error Tracking Software | Sentry,developers;monitoring;software
93,f5.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Hybrid Multicloud App Security & Delivery for the AI Era | F5,apis;infrastructure;security
138,dropbox.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,"Dropbox: Secure cloud storage, file sharing, and more",cloud;collaboration
140,kaspersky.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Kaspersky Cyber Security Solutions for Home and Business | Kaspersky,cybersecurity;security
175,adobe.io,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,The most memorable digital experiences are unleashed by developer creativity,cloud;developer
179,shopify.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Shopify: The All-in-One Commerce Platform for Businesses - Shopify,platform;software
201,vungle.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,The Leading Growth Acceleration Platform for the Mobile Industry.,developers;platform
228,pages.dev,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Cloudflare Pages - Serverless Full-Stack Platform,developers;platform
232,ubuntu.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Enterprise Open Source and Linux | Ubuntu,enterprise;cloud
239,stripe.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Stripe | Financial Infrastructure to Grow Your Revenue,infrastructure;platform
241,cpanel.net,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Web Hosting Control Panel & Server Management Tools | cPanel,web hosting
258,hubspot.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,HubSpot | Software & Tools for your Business - Homepage,crm;platform;software
260,hcaptcha.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,hCaptcha: Real-Time Bot Detection & Fraud Prevention,enterprise
287,appsflyer.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,AppsFlyer | Modern Marketing Cloud,cloud;collaboration;platform
299,salesforce.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Salesforce: The #1 Agentic AI CRM,crm;platform
313,alibaba.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,"Alibaba.com: Manufacturers, Suppliers, Exporters & Importers from the world's largest online B2B mar",b2b
327,datadoghq.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Cloud Monitoring as a Service | Datadog,cloud;monitoring
358,opendns.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Cloud Delivered Enterprise Security by OpenDNS,enterprise;cloud;security
383,ip-api.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,IP-API.com - Geolocation API,api
387,plesk.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Web Hosting & Server Management Platform | Plesk,web hosting;platform;security
388,newrelic.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,AI-powered Observability,observability;platform
391,paloaltonetworks.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Leader in Cybersecurity Protection & Software for the Modern Enterprises - Palo Alto Networks,cybersecurity;cloud;infrastructure;security;software
406,ipify.org,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,ipify - A Simple Public IP Address API,api
451,ipinfo.io,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,IP Data Intelligence for Developers & Enterprises | IPinfo,developers;security
496,atlassian.net,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Products | Atlassian,enterprise;collaboration;software
500,dynatrace.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Dynatrace | Observability built for the age of AI,observability;platform;security
529,trendmicro.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Trend Micro (US) | Global Enterprise AI Cybersecurity Platform,cybersecurity;enterprise;platform
566,eset.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,"ESET Cybersecurity | Enterprise, Business and Home Solutions | ESET",cybersecurity;enterprise;security
591,klaviyo.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Klaviyo: AI Email Marketing & SMS | B2C CRM,crm
594,dreamhost.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Web Hosting Built for Growth - DreamHost,web hosting
605,bitdefender.net,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Bitdefender - Global Leader in Cybersecurity Software,cybersecurity;software
622,onetrust.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Responsible AI Governance & Compliance Solutions | OneTrust,compliance
639,branch.io,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Mobile Measurement & Deep Linking Platform | Branch,infrastructure;platform
661,redhat.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Red Hat - We make open source technologies for the enterprise,enterprise;cloud
735,globalsign.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Digital Certificates - PKI - SSL/TLS 🌎 GlobalSign GMO,identity management;security
802,visma.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Visma | We own and shape business software companies into market leaders.,business software;software
822,zoho.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Zoho | Cloud Software Suite for Businesses,cloud;software
829,deepl.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,"DeepL AI Platform: Translation, Voice & API",api;ai platform;platform
834,liftoff.io,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,The Leading Growth Acceleration Platform for the Mobile Industry.,developers;platform
835,blackberry.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,BlackBerry | Secure Communications and QNX,security;software
839,odoo.com,retain,Homepage title/description and matched enterprise-technology terms support an enterprise-facing technology service interpretation.,Open Source ERP and CRM | Odoo,crm;erp;cloud
